"filename", "language", "JavaScript JSX", "PostCSS", "JavaScript", "comment", "blank", "total"
"d:\react project\src\components\CategoriesButtonsList\CategoriesButtonsList.jsx", "JavaScript JSX", -4, 0, 0, 0, 0, -4
"d:\react project\src\components\CategoriesButtonsList\categories-button-container.css", "PostCSS", 0, -7, 0, 0, 0, -7
"d:\react project\src\components\CategoriesButtonsList\СategoriesButtonList.module.css", "PostCSS", 0, 7, 0, 0, 0, 7
"d:\react project\src\components\CategoryButton\CategoryButton.jsx", "JavaScript JSX", 1, 0, 0, 0, 1, 2
"d:\react project\src\components\CategoryButton\CategoryButton.module.css", "PostCSS", 0, 23, 0, 0, 1, 24
"d:\react project\src\components\CategoryButton\category-button.css", "PostCSS", 0, -23, 0, 0, -1, -24
"d:\react project\src\components\DownloadImageButton\DownloadImageButton.jsx", "JavaScript JSX", 3, 0, 0, 0, 1, 4
"d:\react project\src\components\DownloadImageButton\download-image-button.css", "PostCSS", 0, -20, 0, 0, -1, -21
"d:\react project\src\components\Gallery\Gallery.jsx", "JavaScript JSX", 0, 0, 0, 0, -1, -1
"d:\react project\src\components\Gallery\Gallery.module.css", "PostCSS", 0, 6, 0, 0, 0, 6
"d:\react project\src\components\Gallery\gallery.css", "PostCSS", 0, -6, 0, 0, 0, -6
"d:\react project\src\components\LoadMoreButton\LoadMoreButton.module.css", "PostCSS", 0, 26, 0, 0, 1, 27
"d:\react project\src\components\LoadMoreButton\load-more-button.css", "PostCSS", 0, -26, 0, 0, -1, -27
"d:\react project\src\components\ModalExitButton\ModalExitButton.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, 1
"d:\react project\src\components\ModalExitButton\ModalExitButton.module.css", "PostCSS", 0, 6, 0, 0, 0, 6
"d:\react project\src\components\ModalPreviewContainer\ModalPreviewContainer.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, 1
"d:\react project\src\components\ModalPreviewContainer\ModalPreviewContainer.module.css", "PostCSS", 0, 5, 0, 0, 0, 5
"d:\react project\src\components\ModalPreviewImage\ModalPreviewImage.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, 1
"d:\react project\src\components\ModalPreviewImage\ModalPreviewImage.module.css", "PostCSS", 0, 7, 0, 0, 0, 7
"d:\react project\src\components\ModalPreviewPhoto\ModalPreviewPhoto.jsx", "JavaScript JSX", 1, 0, 0, 0, 1, 2
"d:\react project\src\components\ModalPreviewPhoto\ModalPreviewPhoto.module.css", "PostCSS", 0, 19, 0, 0, 0, 19
"d:\react project\src\components\ModalPreviewPhoto\modal-preview-photo.css", "PostCSS", 0, -43, 0, 0, 0, -43
"d:\react project\src\components\ModalSwitchPhotoButton\ModalSwitchPhotoButton.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, 1
"d:\react project\src\components\ModalSwitchPhotoButton\ModalSwitchPhotoButton.module.css", "PostCSS", 0, 6, 0, 0, 0, 6
"d:\react project\src\components\SearchQueryForm\SearchQueryForm.jsx", "JavaScript JSX", 2, 0, 0, 0, 0, 2
"d:\react project\src\components\SearchQueryForm\SearchQueryForm.module.css", "PostCSS", 0, 31, 0, 0, 2, 33
"d:\react project\src\components\SearchQueryForm\search-query-form.css", "PostCSS", 0, -31, 0, 0, -2, -33
"d:\react project\src\components\SelectButtonDesc\SelectButtonDesc.jsx", "JavaScript JSX", 13, 0, 0, 0, 3, 16
"d:\react project\src\components\SelectButtonLink\SelectButtonLink.jsx", "JavaScript JSX", 3, 0, 0, 0, 0, 3
"d:\react project\src\components\SelectButtonLink\select-button-link.css", "PostCSS", 0, -16, 0, 0, -1, -17
"d:\react project\src\components\SelectButtonsList\SelectButtonsList.module.css", "PostCSS", 0, 8, 0, 0, 0, 8
"d:\react project\src\components\SelectButtonsList\select-button-container.css", "PostCSS", 0, -8, 0, 0, 0, -8
"d:\react project\src\components\SelectPhotoButton\SelectPhotoButton.jsx", "JavaScript JSX", 15, 0, 0, 0, 2, 17
"d:\react project\src\components\SelectPhotoButton\SelectPhotoButton.module.css", "PostCSS", 0, 94, 0, 0, 4, 98
"d:\react project\src\components\SelectPhotoButton\select-button.css", "PostCSS", 0, -9, 0, 0, 0, -9
"d:\react project\src\components\SelectPhotoImage\SelectPhotoImage.jsx", "JavaScript JSX", 0, 0, 0, 0, -1, -1
"d:\react project\src\components\SelectPhotoImage\SelectPhotoImage.module.css", "PostCSS", 0, 0, 0, 0, 1, 1
"d:\react project\src\components\SelectPhotoImage\button-image.css", "PostCSS", 0, -9, 0, 0, -1, -10
"d:\react project\src\context\ImageContext.jsx", "JavaScript JSX", -4, 0, 0, 0, 0, -4
"d:\react project\src\hooks\useModalPreviewPhoto.js", "JavaScript", 0, 0, -9, 0, -2, -11
"Total", "-", 34, 40, -9, 0, 6, 71
