"filename", "language", "Dotenv", "JavaScript", "PostCSS", "JavaScript JSX", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"d:\react project\.env", "Dotenv", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\react project\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 7, 0, 6, 13
"d:\react project\eslint.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"d:\react project\index.html", "HTML", 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"d:\react project\package-lock.json", "JSON", 0, 0, 0, 0, 2825, 0, 0, 0, 1, 2826
"d:\react project\package.json", "JSON", 0, 0, 0, 0, 27, 0, 0, 0, 1, 28
"d:\react project\src\App.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\react project\src\api\imageAPI.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"d:\react project\src\components\CategoriesButtonsList\CategoriesButtonsList.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"d:\react project\src\components\CategoriesButtonsList\СategoriesButtonList.module.css", "PostCSS", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"d:\react project\src\components\CategoryButton\CategoryButton.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 6, 34
"d:\react project\src\components\CategoryButton\CategoryButton.module.css", "PostCSS", 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"d:\react project\src\components\DownloadImageButton\DownloadImageButton.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
"d:\react project\src\components\Gallery\Gallery.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"d:\react project\src\components\Gallery\Gallery.module.css", "PostCSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\react project\src\components\LoadMoreButton\LoadMoreButton.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 4, 31
"d:\react project\src\components\LoadMoreButton\LoadMoreButton.module.css", "PostCSS", 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"d:\react project\src\components\ModalExitButton\ModalExitButton.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"d:\react project\src\components\ModalExitButton\ModalExitButton.module.css", "PostCSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\react project\src\components\ModalPreviewContainer\ModalPreviewContainer.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"d:\react project\src\components\ModalPreviewContainer\ModalPreviewContainer.module.css", "PostCSS", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"d:\react project\src\components\ModalPreviewImage\ModalPreviewImage.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"d:\react project\src\components\ModalPreviewImage\ModalPreviewImage.module.css", "PostCSS", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"d:\react project\src\components\ModalPreviewPhoto\ModalPreviewPhoto.jsx", "JavaScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 6, 30
"d:\react project\src\components\ModalPreviewPhoto\ModalPreviewPhoto.module.css", "PostCSS", 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"d:\react project\src\components\ModalSwitchPhotoButton\ModalSwitchPhotoButton.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 5, 35
