"filename", "language", "JavaScript", "SCSS", "PostCSS", "JavaScript JSX", "JSON", "comment", "blank", "total"
"d:\react project\package-lock.json", "JSON", 0, 0, 0, 0, 931, 0, 0, 931
"d:\react project\package.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 3
"d:\react project\src\components\AuthorLink\AuthorLink.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 2, 20
"d:\react project\src\components\Button\Button.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 3, 15
"d:\react project\src\components\CategoriesButtonsList\CategoriesButtonsList.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, -1, 2
"d:\react project\src\components\CategoriesButtonsList\СategoriesButtonList.module.css", "PostCSS", 0, 0, -7, 0, 0, 0, 0, -7
"d:\react project\src\components\CategoriesButtonsList\СategoriesButtonList.module.scss", "SCSS", 0, 25, 0, 0, 0, 0, 3, 28
"d:\react project\src\components\CategoryButton\CategoryButton.jsx", "JavaScript JSX", 0, 0, 0, -28, 0, 0, -6, -34
"d:\react project\src\components\CategoryButton\CategoryButton.module.css", "PostCSS", 0, 0, -23, 0, 0, 0, -1, -24
"d:\react project\src\components\Desccription\Description.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 2, 12
"d:\react project\src\components\DownloadImageButton\DownloadImageButton.jsx", "JavaScript JSX", 0, 0, 0, -30, 0, 0, -6, -36
"d:\react project\src\components\Gallery\Gallery.jsx", "JavaScript JSX", 0, 0, 0, 15, 0, 0, 1, 16
"d:\react project\src\components\Gallery\Gallery.module.css", "PostCSS", 0, 0, 26, 0, 0, 0, 1, 27
"d:\react project\src\components\LoadMoreButton\LoadMoreButton.jsx", "JavaScript JSX", 0, 0, 0, -27, 0, 0, -4, -31
"d:\react project\src\components\LoadMoreButton\LoadMoreButton.module.css", "PostCSS", 0, 0, -26, 0, 0, 0, -1, -27
"d:\react project\src\components\ModalExitButton\ModalExitButton.jsx", "JavaScript JSX", 0, 0, 0, -17, 0, 0, -3, -20
"d:\react project\src\components\ModalExitButton\ModalExitButton.module.css", "PostCSS", 0, 0, -6, 0, 0, 0, 0, -6
"d:\react project\src\components\ModalPreviewContainer\ModalPreviewContainer.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 0, 3, 35
"d:\react project\src\components\ModalPreviewContainer\ModalPreviewContainer.module.css", "PostCSS", 0, 0, -5, 0, 0, 0, 0, -5
"d:\react project\src\components\ModalPreviewContainer\ModalPreviewContainer.module.scss", "SCSS", 0, 67, 0, 0, 0, 0, 5, 72
